Nazwa Gminy; Liczba Hexagonów
Wierzbica;4;28;210;1470;10264
Nowe Miasteczko;2;16;119;821;5687
Drzewica;3;25;175;1216;8479
Mała Wieś;5;21;155;1106;7775
Łąck;4;19;141;981;6863
Wyszogród;2;19;145;1016;7090
Kędzierzyn-Koźle;3;24;174;1223;8557
Cisek;2;14;103;714;5022
Sanok;8;43;320;2251;15744
Zaleszany;3;18;124;870;6105
Wiązów;5;30;199;1409;9881
Bydgoszcz;7;38;267;1855;12994
Lisewo;3;19;135;944;6603
Unisław;2;16;112;772;5410
Będzin;1;7;53;376;2629
Hrubieszów;10;67;458;3232;22629
Trzeszczany;2;20;126;894;6268
Godziszów;4;21;139;1006;7048
Chrzanów;2;15;104;727;5088
Kraśniczyn;3;20;160;1107;7763
Krasnystaw;1;7;59;410;2905
Stare Kurowo;2;14;114;814;5673
Pabianice;1;7;49;325;2272
Strzelce Wielkie;2;18;112;787;5497
Siemkowice;3;19;145;1010;7065
Brwinów;0;0;0;0;0
Lesko;2;22;154;1083;7585
Czyże;4;30;210;1434;10044
Prusice;5;34;234;1637;11471
Brenna;2;19;136;949;6619
Kraśnik;0;0;0;0;0
Torzym;12;79;561;3963;27717
Potworów;2;16;119;846;5928
Obryte;3;31;210;1470;10279
Praszka;3;23;151;1047;7374
Radłów;3;23;167;1163;8135
Borzęcin;2;20;144;1024;7145
Gnojnik;1;10;77;532;3675
Zawonia;2;25;169;1211;8413
Wisznia Mała;4;21;149;1039;7291
Wałbrzych;2;18;128;885;6163
Olsztyn;4;23;157;1093;7676
Starcza;1;4;30;204;1421
Małomice;1;18;124;851;5938
Zadzim;4;31;211;1484;10390
Świercze;3;20;133;946;6645
Winnica;4;24;174;1195;8354
Przytyk;4;29;193;1346;9425
Jedlnia-Letnisko;3;11;92;646;4530
Turawa;5;36;246;1712;12031
Biała;5;40;281;1966;13795
Mielnik;6;41;292;2038;14288
Jordanów Śląski;3;12;81;567;3964
Bardo;1;14;101;708;4934
Drawno;11;69;489;3427;24034
Jabłonna;4;25;184;1294;9067
Strzyżewice;4;20;155;1096;7667
Niedrzwica Duża;3;24;152;1055;7396
Kołczygłowy;5;38;266;1838;12877
Regnów;1;11;71;474;3288
Błaszki;5;43;287;2037;14254
Brzeźnio;4;26;186;1292;9047
Skaryszew;6;37;245;1747;12230
Korczew;4;23;156;1111;7788
Sejny;8;48;347;2452;17129
Korycin;4;27;173;1227;8611
Bolesławiec;1;4;29;206;1457
Osiecznica;14;91;642;4504;31542
Nieszawa;0;1;13;104;714
Nowogard;12;76;529;3697;25967
Czaplinek;11;83;563;3925;27502
Milejów;2;24;168;1195;8359
Spiczyn;2;19;121;826;5780
Wojcieszków;3;22;161;1112;7792
Warta;7;54;374;2600;18200
Godzianów;1;9;64;434;3044
Słupia;2;10;65;431;3008
Sabnie;2;22;152;1081;7586
Michałowice;1;10;71;511;3569
Rutka-Tartak;4;22;164;1132;7896
Ciechanowiec;6;45;299;2087;14595
Ciechocinek;1;4;21;138;964
Zakrzewo;3;18;116;814;5684
Bobrowo;4;34;224;1573;10953
Górzno;5;27;187;1271;8897
Płoty;8;57;374;2616;18209
Wolin;11;71;505;3535;24744
Dębowa Kłoda;5;36;269;1887;13238
Pruszcz Gdański;0;4;26;179;1215
Budziszewice;0;7;42;306;2098
Rokiciny;3;18;134;927;6485
Tomaszów Mazowiecki;6;34;220;1501;10555
Mirów;2;12;76;530;3716
Błonie;3;18;125;873;6128
Dębica;4;27;193;1377;9612
Pruchnik;2;18;112;788;5506
Radymno;5;34;252;1773;12435
Kamienica;2;18;132;930;6489
Gryfino;9;58;391;2730;19093
Zbąszyń;6;40;271;1911;13361
Lasowice Wielkie;7;44;302;2129;14890
Żukowice;2;14;101;700;4864
Kamienna Góra;3;33;228;1614;11278
Mielno;2;16;99;682;4786
Morawica;3;29;196;1390;9653
Pietrowice Wielkie;2;12;96;657;4614
Goleszów;2;14;93;636;4477
Dukla;6;46;328;2285;15985
Kietrz;6;27;197;1390;9696
Zakopane;2;17;115;803;5642
Jabłonka;5;42;297;2088;14585
Piwniczna-Zdrój;5;25;175;1210;8453
Krynica-Zdrój;3;26;200;1399;9784
Urzędów;2;24;172;1178;8258
Zgorzelec;3;30;203;1416;9861
Zgorzelec;1;4;23;165;1167
Złoty Stok;3;16;105;749;5283
Świeradów-Zdrój;0;5;29;214;1517
Nowa Ruda;2;25;198;1401;9824
Podgórzyn;2;19;114;822;5778
Zielona Góra;8;58;414;2881;20130
Stepnica;9;64;451;3179;22281
Skierniewice;4;25;193;1335;9388
Myszyniec;7;48;344;2415;16867
Rybnik;4;31;207;1467;10262
Rawa Mazowiecka;0;2;15;121;861
Sędziszów Małopolski;4;29;214;1525;10672
Tyczyn;1;9;74;521;3649
Tarnowskie Góry;3;19;124;841;5881
Koszyce;2;12;94;649;4504
Lubowidz;5;42;292;2045;14304
Dobromierz;4;19;126;857;5994
Łódź;8;60;431;3011;21054
Cielądz;2;20;133;937;6558
Andrzejewo;4;24;177;1254;8751
Lubawa;10;60;413;2871;20110
Tarnowo Podgórne;3;21;152;1067;7465
Małogoszcz;4;30;214;1489;10410
Tuczępy;3;15;122;821;5767
Solec-Zdrój;1;17;121;843;5881
Opatów;4;21;158;1119;7852
Miedziana Góra;2;14;103;710;4963
Masłów;3;21;128;897;6310
Mirzec;5;22;160;1113;7818
Skarżysko Kościelne;0;9;81;568;3906
Suchedniów;2;14;102;733;5155
Bogoria;4;23;172;1182;8306
Działoszyce;3;20;145;1026;7159
Kruklanki;6;46;309;2172;15215
Rychliki;5;29;205;1431;10058
Milejewo;2;21;145;1029;7184
Ełk;1;4;29;187;1299
Biskupiec;7;53;371;2582;18078
Dywity;6;37;255;1754;12253
Węgorzewo;11;76;523;3636;25496
Pieniężno;7;56;379;2636;18477
Płoskinia;6;36;266;1875;13096
Lidzbark;8;53;381;2688;18816
Osieczna;3;26;189;1318;9233
Wijewo;2;16;96;641;4450
Szamocin;4;27;193;1354;9478
Krzyż Wielkopolski;5;38;263;1827;12789
Odolanów;5;26;197;1381;9691
Miedzichowo;7;41;314;2149;15089
Doruchów;3;21;148;1030;7187
Sośnie;6;39;274;1929;13542
Pleszew;5;37;261;1860;13011
Zaniemyśl;4;23;153;1084;7563
Dolsk;4;25;186;1291;9051
Dominowo;2;17;116;809;5648
Damasławek;4;22;154;1072;7496
Wapno;1;10;66;471;3290
Września;8;46;334;2326;16265
Siedlec;7;45;304;2131;14963
Przemęt;7;47;330;2324;16289
Rzgów;4;22;150;1086;7602
Koźminek;3;20;128;891;6256
Ceków-Kolonia;2;18;127;894;6284
Godziesze Wielkie;2;17;152;1067;7492
Lisków;2;14;112;784;5463
Gniezno;4;40;263;1848;12964
Grzegorzew;3;15;108;730;5126
Niechanowo;4;25;158;1110;7784
Grodzisk Wielkopolski;4;26;194;1388;9685
Miedźno;4;23;161;1123;7883
Przystajń;2;19;129;899;6314
Kochanowice;3;18;116;811;5706
Pyskowice;1;7;44;313;2174
Panki;1;10;79;549;3812
Goczałkowice-Zdrój;2;9;69;481;3370
Rydułtowy;0;2;19;146;1020
Mszana;1;6;44;297;2079
Radziechowy-Wieprz;2;14;89;639;4458
Ślemień;1;9;62;436;3052
Szczekociny;3;24;189;1336;9336
Kampinos;1;17;128;889;6267
Sadowne;2;30;215;1508;10504
Cmolas;3;28;190;1333;9341
Dobczyce;2;13;86;634;4460
Grudziądz;0;0;0;0;0
Świecie nad Osą;3;21;145;1011;7070
Gniewkowo;4;40;271;1911;13402
Manowo;6;43;291;2043;14333
Markuszów;1;8;55;388;2736
Wąwolnica;2;13;89;633;4432
Sulęczyno;4;28;199;1412;9891
Żukowo;5;35;251;1782;12478
Skomlin;2;10;82;552;3850
Wierzchlas;4;25;169;1185;8287
Łubnice;2;11;83;616;4303
Jedlicze;2;13;82;574;4007
Raciechowice;2;13;86;603;4225
Kamionka Wielka;2;14;91;624;4404
Łososina Dolna;2;18;120;841;5846
Pielgrzymka;3;21;152;1078;7519
Świerzawa;5;33;235;1622;11384
Złotoryja;6;34;242;1689;11880
Kikół;3;20;151;1042;7269
Dobra (Szczecińska);3;24;170;1216;8499
Wohyń;8;39;259;1812;12694
Ryki;5;32;230;1628;11394
Stare Pole;3;16;120;851;5941
Leżajsk;0;0;0;0;0
Kuryłówka;3;27;199;1379;9605
Nowa Sarzyna;4;27;199;1412;9879
Oleszyce;4;29;213;1485;10372
Niechlów;4;30;225;1578;11043
Sławno;1;4;22;160;1145
Bełżec;1;7;50;342;2403
Platerów;4;25;192;1329;9296
Młynarze;1;16;113;807;5656
Sypniewo;4;26;187;1312;9192
Gostynin;9;74;502;3507;24579
Milanówek;1;3;16;122;860
Podkowa Leśna;0;2;15;102;722
Łańcut;0;4;28;202;1408
Olkusz;4;32;216;1515;10576
Dobrzyń nad Wisłą;3;24;169;1189;8351
Lipno;5;49;350;2443;17085
