Nazwa Gminy; Liczba Hexagonów
Stare Pole;215
Leżajsk;48
Kuryłówka;304
Nowa Sarzyna;312
Oleszyce;330
Niechlów;401
Bełżec;74
Platerów;307
Młynarze;195
Sypniewo;314
Gostynin;84
Milanówek;26
Podkowa Leśna;26
Olkusz;349
Dobrzyń nad Wisłą;291
Mogilno;670
Szczecinek;138
Skierbieszów;310
Kaliska;307
Subkowy;214
Latowicz;275
Grójec;296
Żołynia;121
Szubin;891
Wąpielsk;252
Połczyn-Zdrój;989
Stary Zamość;215
Zwierzyniec;342
Żary;778
Wiśniewo;255
Stupsk;296
Nasielsk;507
Serock;272
Solec nad Wisłą;295
Biały Dunajec;73
Chojnów;12
Lubań;365
Kamień Krajeński;445
Pruszcz;386
Sława;865
Kluki;280
Nowe Ostrowy;180
Lelis;498
Boguty-Pianki;217
Wadowice;258
Biskupice;89
Lubomierz;327
Łysomice;328
Rokitno;327
Wiązowna;245
Bieżuń;317
Krasne;260
Cieszków;256
Krośnice;449
Bielsko-Biała;276
Biłgoraj;569
Frampol;239
Księżpol;315
Rejowiec Fabryczny;199
Świnice Warckie;231
Domaniewice;208
Łyszkowice;258
Nowosolna;128
Prażmów;206
Brudzeń Duży;415
Mszczonów;369
Dynów;53
Juchnowiec Kościelny;410
Sadlinki;305
Barcin;319
Buczkowice;46
Skwierzyna;785
Siedlisko;241
Słupno;181
Joniec;180
Płońsk;30
Pawłowiczki;358
Strzeleczki;276
Walce;166
Bojanów;402
Frysztak;201
Czudec;193
Niebylec;223
Bielsk Podlaski;1030
Rudka;174
Chełmno;302
Dołhobyczów;464
Krzeszyce;540
Dobroń;232
Dłutów;249
Raszyn;99
Chorzele;946
Łambinowice;298
Korfantów;425
Nysa;515
Skoroszyce;250
Świdnica;419
Marcinowice;247
Oborniki Śląskie;384
Skoczów;142
Szastarka;165
Żółkiewka;293
Przysucha;431
Gielniów;188
Gzy;274
Olesno;175
Murów;393
Brzesko;226
Bochnia;62
Przytuły;184
Jedwabne;395
Jedlina-Zdrój;42
Blachownia;156
Janów;505
Lelów;288
Mykanów;338
Zakrzówek;227
Niedźwiada;220
Kargowa;336
Dalików;276
Kowala;171
Bolesław;91
Jaświły;438
Kobierzyce;367
Recz;514
Studzienice;502
Przedbórz;446
Zakrzew;166
Jemielnica;268
Grodków;706
Lewin Brzeski;398
Bobowa;109
Iwanowice;161
Krynki;391
Suchowola;627
Warta Bolesławiecka;280
Nowogrodziec;467
Raciążek;91
Cyców;335
Serokomla;182
Łuków;87
Klonowa;227
Wróblew;277
Gozdowo;321
Bielany;255
Nozdrzec;259
Jodłowa;135
Igołomia-Wawrzeńczyce;137
Jerzmanowice-Przeginia;150
Wola Mysłowska;281
Nowa Wieś Lęborska;785
Będków;140
Rzeczyca;260
Konopnica;210
Orońsko;194
Chlewiska;291
Pilzno;360
Laszki;299
Jodłownik;162
Łukowica;152
Nowe Piekuty;263
Rutki;487
Koronowo;1120
Cedynia;513
Susz;701
Lwówek;490
Spytkowice;120
Czarnków;26
Krzanowice;113
